"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","gene"
"GPR160",-0.462261857298282,7.53681955065098,-7.19309423094807,0.000000000003515303479253,0.000000000011281611386991,16.5858335062848,"Not","GPR160"
"DHFR",-0.402000470764656,6.52358740319629,-7.19109058738796,0.00000000000356089022142342,0.0000000000114262282009276,16.5731821087719,"Not","DHFR"
"NOL3",0.517597297728176,4.75015041002876,7.19043719982151,0.00000000000357588149799507,0.0000000000114726417590751,16.5690570672628,"Not","NOL3"
"PDCL3",0.313095244043623,6.10507715710526,7.18950341285412,0.00000000000359741413805156,0.0000000000115400254649488,16.5631622673364,"Not","PDCL3"
"ADCY5",0.518320000306382,3.87365775340886,7.18888287085995,0.00000000000361179405533147,0.0000000000115844477176083,16.5592452365479,"Not","ADCY5"
"KIF14",-0.912543127486083,4.23607799380751,-7.1876204121892,0.00000000000364122409046912,0.0000000000116761355850964,16.5512770403395,"Not","KIF14"
"QRSL1P3",-0.823914619971084,2.38510189961524,-7.18761063663464,0.00000000000364145289361148,0.0000000000116761355850964,16.5512153445928,"Not","QRSL1P3"
"CCBE1",-0.690921947188679,1.5477015457391,-7.18539450418152,0.00000000000369368986688137,0.0000000000118418870511398,16.5372304648974,"Not","CCBE1"
"CD300LG",0.717170535562504,0.337460546576505,7.18345175343655,0.00000000000374008918146716,0.0000000000119888770685187,16.5249734374303,"Not","CD300LG"
"CTTNBP2",1.0536904401198,1.7631604402533,7.18244292671262,0.00000000000376440914276001,0.0000000000120650587405945,16.5186096268535,"Up","CTTNBP2"
"SAP130",-0.29590960380621,8.54907643324569,-7.18150669092666,0.00000000000378711837749069,0.0000000000121360563163885,16.5127043336072,"Not","SAP130"
"FXYD7",0.55665764748886,4.37465997049999,7.17842194950653,0.00000000000386289986408506,0.0000000000123770813037746,16.4932514894883,"Not","FXYD7"
"NAPB",-0.273046912962642,7.35313374436417,-7.17708336991189,0.00000000000389624673532812,0.0000000000124820910198278,16.4848121702641,"Not","NAPB"
"MALSU1",0.249627739228438,6.82037989001041,7.1767229458231,0.00000000000390527398427572,0.0000000000125091704924395,16.4825400141508,"Not","MALSU1"
"SUDS3",-0.22105648507368,8.94102263625217,-7.17657419337331,0.00000000000390900566491652,0.0000000000125192820052298,16.4816022862492,"Not","SUDS3"
"FZD6",-0.678929398719441,5.09513516263973,-7.17487153605021,0.00000000000395197022901559,0.0000000000126550223142374,16.4708698675141,"Not","FZD6"
"GPR143",0.880429975900173,2.04822614796659,7.17452046787802,0.00000000000396088665428356,0.0000000000126817095863879,16.4686572067962,"Not","GPR143"
"DHRS4",0.443348342356414,6.36749386740447,7.17266254099943,0.00000000000400840498190556,0.00000000001283196390488,16.4569487022471,"Not","DHRS4"
"MUC16",1.22348342181644,2.73612451019712,7.17162237555489,0.0000000000040352528037706,0.0000000000129160120244164,16.4503946652464,"Up","MUC16"
"RC3H1",-0.278155311384893,10.1313035072389,-7.1709934408294,0.00000000000405157209247301,0.0000000000129663407280423,16.4464321237647,"Not","RC3H1"
"LCMT1",0.223969905260005,7.48333526043311,7.16985444808088,0.0000000000040812916332864,0.0000000000130594952490347,16.4392566808081,"Not","LCMT1"
"PSMB1",0.33688364908115,9.00347791432712,7.16983200323308,0.00000000000408187943352148,0.0000000000130594952490347,16.4391152910935,"Not","PSMB1"
"RNA5SP111",-0.886154599977407,0.94742981781501,-7.16960397446162,0.00000000000408785592464057,0.0000000000130766949844349,16.4376788591226,"Not","RNA5SP111"
"SSR4",0.432711350282306,9.02086090407383,7.16820939880299,0.00000000000412459474545618,0.0000000000131922812253684,16.4288946974373,"Not","SSR4"
"LMAN1",-0.350689680638986,8.9229684758678,-7.16772002598779,0.00000000000413756370321413,0.000000000013231818128578,16.4258125393458,"Not","LMAN1"
"SUMO2P15",0.79501254531669,0.198577879751083,7.16681188762479,0.00000000000416173688430674,0.0000000000133071689656063,16.4200933422548,"Not","SUMO2P15"
"RNU5A-1",0.76238167383451,1.50203911675815,7.16340940991826,0.00000000000425354775504096,0.000000000013598737684043,16.3986703810343,"Not","RNU5A-1"
"UBA6-AS1",0.30114517456605,6.19950373514189,7.16297612916428,0.00000000000426538137017231,0.0000000000136345683111424,16.3959428755262,"Not","UBA6-AS1"
"CAVIN2",-0.66140422905292,9.18175404689107,-7.16288360240506,0.00000000000426791262492556,0.0000000000136406571859319,16.3953604350796,"Not","CAVIN2"
"DENND1C",0.253793977066493,9.64507341121393,7.16271192451252,0.00000000000427261313473483,0.0000000000136536764028252,16.3942797665938,"Not","DENND1C"
"ARFGAP1",0.241262793647147,9.61530313618238,7.161867530792,0.00000000000429580675072642,0.0000000000137257801903254,16.3889648091052,"Not","ARFGAP1"
"NFIX",0.706064846844846,8.00269931585732,7.16182176602541,0.00000000000429706734113917,0.0000000000137277936257784,16.3886767605999,"Not","NFIX"
"GSC",1.08468692600508,0.985870103670648,7.15953051797294,0.00000000000436064736837678,0.0000000000139288684826763,16.3742571727999,"Up","GSC"
"ZFY",-3.72637120293246,5.25113000896536,-7.15877465417091,0.00000000000438182431497773,0.0000000000139944594395189,16.3695010360661,"Down","ZFY"
"NEGR1",-0.730098020851751,3.9002374381094,-7.15868729721012,0.00000000000438427830049014,0.000000000014000243436453,16.3689513826418,"Not","NEGR1"
"GASK1B",-0.582975543721952,8.10315479965907,-7.15844096288521,0.000000000004391205481554,0.0000000000140203078241699,16.3674014647533,"Not","GASK1B"
"LINC02212",0.890251621133526,2.37676784216123,7.15740531186407,0.00000000000442044712355126,0.0000000000141116018348232,16.3608856646161,"Not","LINC02212"
