"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1799",3689,0,0,0.237,Inf,"TMC6","old"
"1800",3690,0,0,0.218,Inf,"TMC6","old"
"1801",3691,0,0,-0.084,Inf,"DUSP28","Not significant"
"1802",3693,0.0000178623390906,0.000057008207951042,0.306,9.77231530135552,"DDB2","old"
"1803",3694,0.0000483415464643,0.000147004497568937,0.099,8.82504737594652,"CSNK1G2","Not significant"
"1804",3695,2.0650148258e-14,0.000000000000133993478564162,0.135,29.6409852635757,"CSNK1G2","old"
"1805",3696,1,1,-0.004,0,"MTF2","Not significant"
"1806",3698,1,1,0,0,"ASTE1","Not significant"
"1807",3700,0,0,0.17,Inf,"APEH","old"
"1808",3701,0,0,0.252,Inf,"PPP1CA","old"
"1809",3704,0.919621407367,1,0.068,0,"NOP56","Not significant"
"1810",3705,1,1,0.001,0,"DHX9","Not significant"
"1811",3706,0.305458689715,0.526175148000628,0.051,0.642121140680507,"RNPEPL1","Not significant"
"1812",3707,0.000010030501142,0.0000329794799293007,0.257,10.3196250102325,"RNPEPL1","old"
"1813",3711,0,0,0.117,Inf,"ATP6V0B","old"
"1814",3712,0.000781512704322,0.00204849156686649,-0.001,6.19065157772173,"ATP6V0B","Not significant"
"1815",3722,1,1,0.009,0,"IZUMO4","Not significant"
"1816",3723,0.0000243117472191,0.0000764462449463228,0.099,9.47892274456762,"IZUMO4","Not significant"
"1817",3724,1,1,-0.011,0,"IZUMO4","Not significant"
"1818",3726,1.11022302463e-16,8.36766553486518e-16,0.286,34.7169865509238,"EXOSC2","old"
"1819",3727,1,1,0.001,0,"GDI1","Not significant"
"1820",3728,1,1,0.066,0,"DNAJB2","Not significant"
"1821",3729,1,1,0.007,0,"DNAJB2","Not significant"
"1822",3731,0.263564574041,0.461143874366735,-0.014,0.774045192774224,"HNRNPA1","Not significant"
"1823",3732,0.0000373785923296,0.000115240858289937,0.312,9.06848619992826,"SAT2","old"
"1824",3733,0.0000000672217118636,0.000000273748268013114,0.324,15.1110568827284,"SAT2","old"
"1825",3734,0.000233589860899,0.000649096272571867,0.187,7.33992951239725,"SAT2","old"
"1826",3736,1,1,0.003,0,"GBA2","Not significant"
"1827",3738,0,0,0.138,Inf,"EIF6","old"
"1828",3739,1,1,-0.03,0,"WNT10B","Not significant"
"1829",3740,1,1,0.001,0,"WNT10B","Not significant"
"1830",3745,0.149170961257,0.277212049605953,0.005,1.28297254361419,"RPSA","Not significant"
"1831",3746,0.00146158734918,0.00373516767012667,0.213,5.58996256980478,"FAHD2A","old"
"1832",3752,0.00617103211649,0.0145415518704591,0.107,4.23074508145389,"BCL2L11","old"
"1833",3755,0.0000340602399069,0.000105474788434831,0.349,9.15703860578825,"MRPL2","old"
"1834",3756,0.000000011250529619,0.0000000485606560383092,0.029,16.8404521804366,"TINF2","Not significant"
"1835",3757,0.0100488440174,0.0229361589368943,0.239,3.77504062084301,"WDFY4","old"
"1836",3760,0.384755130898,0.646626204552076,0.099,0.435986887830769,"HERC5","Not significant"
"1837",3764,1,1,0.001,0,"LDAH","Not significant"
"1838",3765,0,0,0.118,Inf,"NCL","old"
"1839",3766,0.113093618963,0.215749859540396,0.142,1.53363560004826,"RPS4X","Not significant"
"1840",3767,0,0,0.053,Inf,"MRPL20","Not significant"
"1841",3769,0,0,0.245,Inf,"RGS2","old"
"1842",3774,0.0000461432066234,0.000140932399780571,0.159,8.86723021673176,"TIMM21","old"
"1843",3779,0,0,-0.003,Inf,"LMO2","Not significant"
"1844",3781,0.554887240664,0.88836359216109,0.192,0.118374169160144,"HDAC3","Not significant"
"1845",3782,0.00000494242497417,0.0000167779780196859,0.284,10.9954433636086,"HDAC3","old"
"1846",3793,0.0491689496241,0.100659709238807,0.067,2.29600966618561,"NELL2","Not significant"
"1847",3794,1,1,0,0,"RAD17","Not significant"
"1848",3797,0.000217835628393,0.000608077916522682,0.113,7.40520753203343,"ITSN2","old"
"1849",3800,0.00000083852228705,0.00000304968128007272,0.203,12.7004734711421,"MCM7","old"
"1850",3801,0.000464721936629,0.00125644192469397,0.239,6.67947142195014,"MCM7","old"
"1851",3803,0,0,0.27,Inf,"OST4","old"
"1852",3809,0,0,0.077,Inf,"SNX17","Not significant"
"1853",3811,1,1,0,0,"USP21","Not significant"
"1854",3812,0.0433252950119,0.089481711746753,-0.027,2.41372101260629,"USP21","Not significant"
"1855",3815,0,0,0.305,Inf,"MFF","old"
"1856",3820,1,1,0.002,0,"MED22","Not significant"
"1857",3822,0.224307991692,0.399739851327431,0.139,0.916941315138983,"APBA3","Not significant"
"1858",3823,0.000000688013293004,0.00000253999783151967,0.186,12.8833473306666,"C1orf228","old"
"1859",3824,0.230831221396,0.410320084767418,0.263,0.890817729312585,"SNX15","Not significant"
"1860",3826,0.808704459358,1,0.159,0,"PIAS3","Not significant"
"1861",3827,0.278084936952,0.483956698446838,0.128,0.725759842286759,"PIAS3","Not significant"
"1862",3828,1,1,-0.002,0,"PIAS3","Not significant"
"1863",3832,0.000660283196236,0.0017513412985166,0.202,6.34737332832914,"STARD3","old"
"1864",3833,1,1,0.003,0,"STARD3","Not significant"
"1865",3834,0.451804674702,0.746758131364743,0.066,0.292013932939856,"STARD3","Not significant"
"1866",3835,1,1,0.028,0,"STARD3","Not significant"
"1867",3836,1,1,0.014,0,"ATAT1","Not significant"
"1868",3837,0.0166603382122,0.0368483055989019,0.103,3.30094564243782,"ATAT1","old"
"1869",3838,0.470907937086,0.773375120276337,0.055,0.256991069609629,"ATAT1","Not significant"
"1870",3839,0.00000074875076439,0.00000274150223822617,0.18,12.8070045256787,"NPRL2","old"
"1871",3840,0.00000000506883979234,0.0000000224929765785087,0.326,17.6100627285319,"NPRL2","old"
"1872",3841,0.000000000281468848229,0.00000000138863634186694,0.26,20.394943620364,"NPRL2","old"
"1873",3842,0,0,0.1,Inf,"NPRL2","Not significant"
"1874",3843,0.000000000205351069482,0.00000000102341290884264,0.221,20.7001228059546,"NPRL2","old"
"1875",3844,1,1,-0.002,0,"NPRL2","Not significant"
"1876",3845,1,1,0.007,0,"NPRL2","Not significant"
"1877",3846,0.000000165295557131,0.000000649336747757644,0.092,14.2473143830722,"NPRL2","Not significant"
"1878",3847,0.000174122771815,0.000492225885240441,0.212,7.61657283049127,"NPRL2","old"
"1879",3853,1,1,-0.016,0,"HARS2","Not significant"
"1880",3864,1,1,-0.007,0,"RUSC1","Not significant"
"1881",3865,0.507693004009,0.82439112583364,0.007,0.193110194417705,"RUSC1","Not significant"
"1882",3877,5.55111512313e-16,4.05289314280386e-15,0.2,33.1393454125753,"FMNL1","old"
"1883",3878,0.263171688424,0.4606209723434,0.05,0.77517975997169,"FMNL1","Not significant"
"1884",3880,5.88418203051e-15,3.94344839500253e-14,0.309,30.8641357342368,"NKG7","old"
"1885",3888,0,0,-0.223,Inf,"UBE2D3","young"
"1886",3890,0,0,0.103,Inf,"UBXN1","old"
"1887",3891,0,0,0.212,Inf,"UBXN1","old"
"1888",3892,1,1,-0.008,0,"UBXN1","Not significant"
"1889",3893,0.817868988736,1,-0.001,0,"UBXN1","Not significant"
