"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"2874",6779,0.00000779161826525,0.0000648758173550105,0.116,9.64303561763642,"JAML","old"
"2875",6780,0,0,0.012,Inf,"JAML","Not significant"
"2876",6782,1,1,0,0,"ATP5L","Not significant"
"2877",6784,1,1,-0.006,0,"ARCN1","Not significant"
"2878",6786,0.353292776736,1,-0.01,0,"CCDC84","Not significant"
"2879",6787,1,1,-0.005,0,"CCDC84","Not significant"
"2880",6789,1,1,-0.001,0,"SLC37A4","Not significant"
"2881",6792,0.148416223234,0.569071838604355,0.014,0.563748598687483,"GSKIP","Not significant"
"2882",6799,1,1,0.01,0,"TMEM218","Not significant"
"2883",6801,0,0,-0.147,Inf,"TMEM218","young"
"2884",6803,0.111553877145,0.44133641256173,0.027,0.817947854074016,"TMEM218","Not significant"
"2885",6805,1,1,0.006,0,"STT3A","Not significant"
"2886",6809,0.00000279519896906,0.0000244682373098067,0.184,10.6181347178486,"RNF220","old"
"2887",6812,1,1,0,0,"APLP2","Not significant"
"2888",6814,1,1,0.013,0,"ZBTB44","Not significant"
"2889",6815,1,1,-0.007,0,"ZBTB44","Not significant"
"2890",6817,1,1,0.001,0,"ACAD8","Not significant"
"2891",6818,1,1,0,0,"MPDU1","Not significant"
"2892",6819,1,1,0.004,0,"FLOT2","Not significant"
"2893",6822,1,1,0.018,0,"PITRM1","Not significant"
"2894",6824,1,1,0,0,"IL2RA","Not significant"
"2895",6826,1,1,0.028,0,"KANSL2","Not significant"
"2896",6827,1,1,-0.005,0,"KANSL2","Not significant"
"2897",6828,1,1,-0.011,0,"KANSL2","Not significant"
"2898",6835,1,1,0.005,0,"PLEKHG4","Not significant"
"2899",6839,1,1,0.004,0,"ZC3H18","Not significant"
"2900",6844,0.000108293072041,0.000761495453574523,-0.026,7.18022635600207,"CEP170","Not significant"
"2901",6848,0.150837865389,0.577985915514974,0.083,0.548205778227807,"UBL5","Not significant"
"2902",6849,1,1,-0.004,0,"UBL5","Not significant"
"2903",6862,1,1,0,0,"EPC1","Not significant"
"2904",6866,1,1,0,0,"CASP1","Not significant"
"2905",6867,1,1,0,0,"CASP1","Not significant"
"2906",6869,1,1,0.001,0,"ZNF653","Not significant"
"2907",6871,1,1,0.002,0,"CCNB1IP1","Not significant"
"2908",6872,1,1,-0.001,0,"NACA","Not significant"
"2909",6873,1,1,0,0,"NACA","Not significant"
"2910",6879,0.524583810322,1,0.042,0,"MCMBP","Not significant"
"2911",6880,1,1,0,0,"RASSF4","Not significant"
"2912",6881,1,1,0.001,0,"RASSF4","Not significant"
"2913",6883,1,1,0,0,"FBXO7","Not significant"
"2914",6886,0.000000000612169981373,0.0000000075509396462744,0.14,18.7015938249694,"POLD4","old"
"2915",6887,0,0,0.29,Inf,"RNF146","old"
"2916",6888,0,0,0.307,Inf,"RNF146","old"
"2917",6889,0.264228605472,0.92900163408,-0.024,0.0736447812032147,"RNF146","Not significant"
"2918",6890,1,1,-0.003,0,"PABPC4","Not significant"
"2919",6891,1,1,0.004,0,"PABPC4","Not significant"
"2920",6892,0.741769843599,1,0.036,0,"PABPC4","Not significant"
"2921",6893,1,1,0.002,0,"PABPC4","Not significant"
"2922",6894,0.0306282473428,0.141760625941335,0.16,1.95361537663473,"PABPC4","Not significant"
"2923",6899,0.0000504719949256,0.000373843436359593,0.149,7.89167346755466,"C10orf128","old"
"2924",6903,1,1,-0.008,0,"NPIPA1","Not significant"
"2925",6904,1,1,-0.007,0,"NPIPA1","Not significant"
"2926",6907,0.00733620267816,0.0380844608596654,0,3.26794893149586,"LINC00892","Not significant"
"2927",6908,1,1,0,0,"USP15","Not significant"
"2928",6916,4.06341627013e-14,0.000000000000653870488751377,0.027,28.055867092496,"FAM149B1","Not significant"
"2929",6918,1,1,0.002,0,"RP11-574K11.31","Not significant"
"2930",6927,1,1,0,0,"CLIC3","Not significant"
"2931",6938,0.912353455788,1,0.005,0,"RPP30","Not significant"
"2932",6944,1,1,-0.004,0,"ALDH18A1","Not significant"
"2933",6945,1,1,0,0,"SAMD9L","Not significant"
"2934",6946,0.0000134803861304,0.000109196614923322,0.063,9.12236049400463,"SAMD9L","Not significant"
"2935",6947,1,1,0,0,"NME3","Not significant"
"2936",6948,0.595407716171,1,0.202,0,"NME3","Not significant"
"2937",6949,1,1,0,0,"NME3","Not significant"
"2938",6950,1,1,0,0,"NME3","Not significant"
"2939",6952,1,1,-0.003,0,"BLNK","Not significant"
"2940",6953,1,1,0.001,0,"ZDHHC16","Not significant"
"2941",6954,1,1,0.023,0,"ZFYVE27","Not significant"
"2942",6955,1,1,-0.005,0,"ZFYVE27","Not significant"
"2943",6956,1,1,-0.001,0,"ZFYVE27","Not significant"
"2944",6957,1,1,0.002,0,"ZFYVE27","Not significant"
"2945",6963,1,1,0,0,"RNH1","Not significant"
"2946",6965,1,1,0.016,0,"MRPL43","Not significant"
"2947",6966,0.0655820182212,0.278467033272094,0.036,1.27845559907346,"MRPL43","Not significant"
"2948",6967,0.389982937209,1,0.028,0,"MRPL43","Not significant"
"2949",6979,1,1,-0.008,0,"RECQL4","Not significant"
"2950",6980,1,1,0,0,"FAM45A","Not significant"
"2951",6989,0.00138467993502,0.00809790579989941,-0.054,4.8161497939541,"CYP4F3","Not significant"
"2952",6990,1,1,-0.002,0,"CYP4F3","Not significant"
"2953",6993,0.529798423489,1,-0.011,0,"MTG1","Not significant"
"2954",6996,1,1,-0.017,0,"NECAB3","Not significant"
"2955",6997,1,1,0,0,"NECAB3","Not significant"
"2956",7005,1,1,-0.002,0,"CACNA2D4","Not significant"
"2957",7006,1,1,0,0,"EHBP1L1","Not significant"
"2958",7007,0.00022582210299,0.00151138784176043,0.011,6.49472694976595,"EHBP1L1","Not significant"
"2959",7012,1,1,0.004,0,"TRMT11","Not significant"
"2960",7013,1,1,0.001,0,"RHNO1","Not significant"
"2961",7014,1,1,0,0,"TECPR1","Not significant"
"2962",7015,1,1,-0.011,0,"TECPR1","Not significant"
"2963",7016,0.45741121561,1,0.005,0,"TECPR1","Not significant"
"2964",7022,1,1,0,0,"EIF3M","Not significant"
"2965",7025,0.0153186218412,0.0745331478337115,0.031,2.59651131518665,"CD27-AS1","Not significant"
"2966",7027,1,1,-0.002,0,"ING4","Not significant"
"2967",7028,0,0,-0.067,Inf,"ING4","Not significant"
"2968",7029,1,1,-0.021,0,"ING4","Not significant"
"2969",7039,1,1,0.003,0,"PHC1","Not significant"
"2970",7042,0,0,0.237,Inf,"CLEC2D","old"
"2971",7044,0,0,0.293,Inf,"CLEC7A","old"
"2972",7045,1,1,0.001,0,"GABARAPL1","Not significant"
"2973",7047,1,1,-0.004,0,"GABARAPL1","Not significant"
"2974",7048,1,1,0.001,0,"KLRK1","Not significant"
"2975",7049,1,1,-0.001,0,"KLRK1","Not significant"
"2976",7050,1,1,-0.003,0,"KLRK1","Not significant"
"2977",7051,1,1,-0.016,0,"KLRK1","Not significant"
"2978",7052,0,0,-0.008,Inf,"YBX3","Not significant"
"2979",7053,1,1,-0.001,0,"YBX3","Not significant"
"2980",7063,1,1,-0.001,0,"TBCB","Not significant"
"2981",7070,0.793233783706,1,0.031,0,"RWDD2B","Not significant"
"2982",7074,1,1,-0.002,0,"RECQL","Not significant"
"2983",7077,0.000000000000142996725572,0.00000000000224655382017063,0.023,26.8216237093446,"PHOSPHO1","Not significant"
"2984",7088,1,1,0,0,"WDR74","Not significant"
"2985",7089,1,1,-0.007,0,"CAPRIN2","Not significant"
"2986",7095,1,1,0.002,0,"RABGGTB","Not significant"
"2987",7096,1,1,-0.003,0,"RABGGTB","Not significant"
"2988",7097,0.00000000123130672325,0.000000014760845658238,0.241,18.0312877254968,"RABGGTB","old"
